YearlyInt,SMSTr,DataTr,
2010,560204.0,749636.0,
2010,1126370.0,1507250.0,
2010,175809.0,235258.0,
2011,1074530.0,1981820.0,
2011,178082.0,328448.0,
2011,567447.0,1046580.0,
2011,1140930.0,2104290.0,
2012,591100.0,1213040.0,
2012,1188490.0,2438980.0,
2012,1119320.0,2297030.0,
2012,185505.0,380687.0,
2013,869721.0,2863000.0,
2013,144139.0,474486.0,
2013,459291.0,1511920.0,
2013,923468.0,3039930.0,
2014,352556.0,2579260.0,
2014,708863.0,5185960.0,
2014,667607.0,4884160.0,
2014,110643.0,809449.0,
2015,602970.0,8675180.0,
2015,99930.4,1437740.0,
2015,318422.0,4581270.0,
2015,640232.0,9211290.0,
2016,265929.0,7282230.0,
2016,534688.0,1.46419E7,
2016,503568.0,1.37898E7,
2016,83456.6,2285380.0,
2017,433890.0,2.32821E7,
2017,71908.7,3858550.0,
2017,229133.0,1.2295E7,
2017,460703.0,2.47209E7,
2018,206805.0,1.79473E7,
2018,415811.0,3.60855E7,
2018,391610.0,3.39853E7,
2018,64901.6,5632400.0,
