YearlyInt,UsageRevenue,SMSRevenue,DataRevenue,SMSTr,DataTr,DataId,VoiceMinutes,NetworkName,
2010,76927.1,8230.07,11781.6,560204.0,749636.0,1,498229.0,Eir,
2010,54672.7,16547.7,23688.5,1126370.0,1507250.0,2,1001760.0,Vodafone,
2010,24142.0,2582.84,3.69704E7,175809.0,235258.0,4,156359.0,Tesco Mobile,
2011,78853.4,7618.13,12064.3,567447.0,1046580.0,5,520040.0,Eir,
2011,158546.0,15317.3,24257.0,1140930.0,2104290.0,6,1045610.0,Vodafone,
2011,149318.0,14425.8,22845.2,1074530.0,1981820.0,7,984757.0,Three,
2011,24746.5,2390.79,3786.14,178082.0,328448.0,8,163204.0,Tesco Mobile,
2012,7477700.0,7284.24,13595.6,591100.0,1213040.0,9,519633.0,Eir,
2012,150350.0,14646.0,27335.8,1188490.0,2438980.0,10,1044790.0,Vodafone,
2012,141600.0,13793.6,25744.8,1119320.0,2297030.0,11,983985.0,Three,
2012,23467.4,2286.01,4266.7,185505.0,380687.0,12,163076.0,Tesco Mobile,
2013,72981.6,7506.27,16942.4,459291.0,1511920.0,13,512370.0,Eir,
2013,146740.0,15092.4,34065.0,923468.0,3039930.0,14,1030190.0,Vodafone,
2013,138199.0,14214.0,32082.4,869721.0,2863000.0,15,970233.0,Three,
2013,22903.8,2355.69,5317.02,144139.0,474486.0,16,160797.0,Tesco Mobile,
2014,71880.5,5364.01,20529.4,352556.0,2579260.0,17,552339.0,Eir,
2014,144526.0,10785.1,41277.2,708863.0,5185960.0,18,1110550.0,Vodafone,
2014,136114.0,10157.4,38874.8,667607.0,4884160.0,19,1045920.0,Three,
2014,22558.2,1683.38,6442.74,110643.0,809449.0,20,173340.0,Tesco Mobile,
2015,73103.0,4972.78,19178.4,318422.0,4581270.0,21,577448.0,Eir,
2015,146984.0,9998.47,38560.9,640232.0,9211290.0,22,1161040.0,Vodafone,
2015,138429.0,9416.55,36316.6,602970.0,8675180.0,23,1093470.0,Three,
2015,22941.9,1560.6,6018.76,99930.4,1437740.0,24,181220.0,Tesco Mobile,
2016,73007.7,4117.76,19150.4,265929.0,7282230.0,25,589384.0,Eir,
2016,146792.0,8279.33,38504.6,534688.0,1.46419E7,26,1185040.0,Vodafone,
2016,138249.0,7797.46,36263.6,503568.0,1.37898E7,27,1116070.0,Three,
2016,22912.0,1292.27,6009.97,83456.6,2285380.0,28,184966.0,Tesco Mobile,
2017,72509.5,3760.0,17355.4,229133.0,1.2295E7,29,581631.0,Eir,
2017,145790.0,7560.0,34895.4,460703.0,2.47209E7,30,1169450.0,Vodafone,
2017,137305.0,7120.0,32864.5,433890.0,2.32821E7,31,1101390.0,Three,
2017,22755.7,1180.0,5446.64,71908.7,3858550.0,32,182533.0,Tesco Mobile,
2018,72809.2,3513.53,15634.1,206805.0,1.79473E7,33,590932.0,Eir,
2018,146393.0,7064.44,31434.5,415811.0,3.60855E7,34,1188150.0,Vodafone,
2018,137873.0,6653.28,29605.0,391610.0,3.39853E7,35,1119000.0,Three,
2018,22849.7,1102.65,4906.44,64901.6,5632400.0,36,185452.0,Tesco mobile,
